County,Year(s),Number of Extreme Heat Days
Dickinson,1987,11
Dickinson,1988,16
Dickinson,1989,4
Dickinson,1990,1
Dickinson,1991,14
Dickinson,1993,1
Dickinson,1994,3
Dickinson,1995,10
Dickinson,1996,4
Dickinson,1997,2
Dickinson,1998,4
Dickinson,1999,11
Dickinson,2000,3
Dickinson,2001,14
Dickinson,2002,12
Dickinson,2003,9
Dickinson,2004,1
Dickinson,2005,20
Dickinson,2006,15
Dickinson,2007,14
Dickinson,2008,2
Dickinson,2009,5
Dickinson,2010,17
Dickinson,2011,17
Dickinson,2012,23
Dickinson,2013,23
Dickinson,2014,5
Dickinson,2015,9
Dickinson,2016,14
Eaton,1979,4
Eaton,1980,19
Eaton,1981,9
Eaton,1982,8
Eaton,1983,32
Eaton,1984,15
Eaton,1985,6
Eaton,1986,12
Eaton,1987,26
Eaton,1988,36
Eaton,1989,8
Eaton,1990,11
Eaton,1991,25
Eaton,1992,3
Eaton,1993,14
Eaton,1994,10
Eaton,1995,28
Eaton,1996,7
Eaton,1997,13
Eaton,1998,14
Eaton,1999,21
Eaton,2000,10
Eaton,2001,19
Eaton,2002,30
Eaton,2003,14
Eaton,2004,9
Eaton,2005,32
Eaton,2006,21
Eaton,2007,25
Eaton,2008,20
Eaton,2009,7
Eaton,2010,39
Eaton,2011,31
Eaton,2012,40
Eaton,2013,31
Eaton,2014,20
Eaton,2015,23
Eaton,2016,37
Emmet,1982,1
Emmet,1986,1
Emmet,1987,2
Emmet,1988,5
Emmet,1994,1
Emmet,1995,3
Emmet,1999,2
Emmet,2000,1
Emmet,2001,6
Emmet,2002,2
Emmet,2003,2
Emmet,2005,3
Emmet,2006,4
Emmet,2010,2
Emmet,2011,2
Emmet,2012,4
Emmet,2013,3
Emmet,2015,1
Emmet,2016,3
Genesee,1979,9
Genesee,1980,18
Genesee,1981,8
Genesee,1982,6
Genesee,1983,29
Genesee,1984,12
Genesee,1985,8
Genesee,1986,10
Genesee,1987,23
Genesee,1988,33
Genesee,1989,11
Genesee,1990,8
Genesee,1991,21
Genesee,1992,2
Genesee,1993,12
Genesee,1994,10
Genesee,1995,24
Genesee,1996,7
Genesee,1997,12
Genesee,1998,16
Genesee,1999,21
Genesee,2000,7
Genesee,2001,16
Genesee,2002,29
Genesee,2003,13
Genesee,2004,8
Genesee,2005,33
Genesee,2006,18
Genesee,2007,19
Genesee,2008,13
Genesee,2009,5
Genesee,2010,37
Genesee,2011,31
Genesee,2012,35
Genesee,2013,30
Genesee,2014,16
Genesee,2015,23
Genesee,2016,32
Gladwin,1979,4
Gladwin,1980,15
Gladwin,1981,6
Gladwin,1982,5
Gladwin,1983,24
Gladwin,1984,8
Gladwin,1985,5
Gladwin,1986,8
Gladwin,1987,21
Gladwin,1988,30
Gladwin,1989,9
Gladwin,1990,5
Gladwin,1991,18
Gladwin,1992,2
Gladwin,1993,8
Gladwin,1994,7
Gladwin,1995,15
Gladwin,1996,6
Gladwin,1997,10
Gladwin,1998,11
Gladwin,1999,18
Gladwin,2000,4
Gladwin,2001,16
Gladwin,2002,23
Gladwin,2003,10
Gladwin,2004,8
Gladwin,2005,28
Gladwin,2006,19
Gladwin,2007,19
Gladwin,2008,12
Gladwin,2009,5
Gladwin,2010,29
Gladwin,2011,30
Gladwin,2012,30
Gladwin,2013,24
Gladwin,2014,9
Gladwin,2015,14
Gladwin,2016,28
Gogebic,1986,1
Gogebic,1988,2
Gogebic,1995,2
Gogebic,1996,1
Gogebic,1999,1
Gogebic,2001,3
Gogebic,2002,2
Gogebic,2005,3
Gogebic,2006,4
Gogebic,2010,1
Gogebic,2011,3
Gogebic,2012,2
Gogebic,2013,3
Gogebic,2016,1
Grand Traverse,1979,2
Grand Traverse,1980,9
Grand Traverse,1981,2
Grand Traverse,1982,2
Grand Traverse,1983,20
Grand Traverse,1984,4
Grand Traverse,1985,3
Grand Traverse,1986,7
Grand Traverse,1987,17
Grand Traverse,1988,18
Grand Traverse,1989,3
Grand Traverse,1990,2
Grand Traverse,1991,16
Grand Traverse,1992,1
Grand Traverse,1993,3
Grand Traverse,1994,4
Grand Traverse,1995,15
Grand Traverse,1996,4
Grand Traverse,1997,5
Grand Traverse,1998,5
Grand Traverse,1999,8
Grand Traverse,2000,2
Grand Traverse,2001,16
Grand Traverse,2002,12
Grand Traverse,2003,8
Grand Traverse,2005,20
Grand Traverse,2006,17
Grand Traverse,2007,16
Grand Traverse,2008,2
Grand Traverse,2009,4
Grand Traverse,2010,20
Grand Traverse,2011,24
Grand Traverse,2012,29
Grand Traverse,2013,18
Grand Traverse,2014,7
Grand Traverse,2015,9
Grand Traverse,2016,19
Gratiot,1979,4
Gratiot,1980,15
Gratiot,1981,9
Gratiot,1982,6
Gratiot,1983,30
Gratiot,1984,10
Gratiot,1985,7
Gratiot,1986,9
Gratiot,1987,25
Gratiot,1988,33
Gratiot,1989,10
Gratiot,1990,7
Gratiot,1991,20
Gratiot,1992,2
Gratiot,1993,11
Gratiot,1994,11
Gratiot,1995,22
Gratiot,1996,7
Gratiot,1997,11
Gratiot,1998,18
Gratiot,1999,20
Gratiot,2000,7
Gratiot,2001,18
Gratiot,2002,27
Gratiot,2003,14
Gratiot,2004,9
Gratiot,2005,33
Gratiot,2006,20
Gratiot,2007,24
Gratiot,2008,14
Gratiot,2009,6
Gratiot,2010,37
Gratiot,2011,31
Gratiot,2012,34
Gratiot,2013,29
Gratiot,2014,13
Gratiot,2015,22
Gratiot,2016,28
Hillsdale,1979,5
Hillsdale,1980,22
Hillsdale,1981,7
Hillsdale,1982,6
Hillsdale,1983,33
Hillsdale,1984,9
Hillsdale,1985,7
Hillsdale,1986,12
Hillsdale,1987,24
Hillsdale,1988,36
Hillsdale,1989,9
Hillsdale,1990,12
Hillsdale,1991,22
Hillsdale,1992,4
Hillsdale,1993,15
Hillsdale,1994,13
Hillsdale,1995,26
Hillsdale,1996,6
Hillsdale,1997,15
Hillsdale,1998,16
Hillsdale,1999,27
Hillsdale,2000,11
Hillsdale,2001,19
Hillsdale,2002,23
Hillsdale,2003,10
Hillsdale,2004,8
Hillsdale,2005,28
Hillsdale,2006,18
Hillsdale,2007,21
Hillsdale,2008,15
Hillsdale,2009,7
Hillsdale,2010,37
Hillsdale,2011,32
Hillsdale,2012,43
Hillsdale,2013,29
Hillsdale,2014,21
Hillsdale,2015,22
Hillsdale,2016,34
Houghton,1982,1
Houghton,1983,1
Houghton,1986,1
Houghton,1988,2
Houghton,1991,2
Houghton,1995,1
Houghton,1999,1
Houghton,2001,3
Houghton,2002,2
Houghton,2005,6
Houghton,2006,2
Houghton,2007,1
Houghton,2010,2
Houghton,2011,4
Houghton,2012,1
Houghton,2013,2
Houghton,2016,2
Huron,1979,2
Huron,1980,7
Huron,1981,3
Huron,1982,1
Huron,1983,16
Huron,1984,3
Huron,1985,4
Huron,1986,6
Huron,1987,16
Huron,1988,25
Huron,1989,5
Huron,1990,5
Huron,1991,15
Huron,1992,1
Huron,1993,5
Huron,1994,7
Huron,1995,9
Huron,1996,4
Huron,1997,8
Huron,1998,8
Huron,1999,14
Huron,2000,3
Huron,2001,10
Huron,2002,18
Huron,2003,6
Huron,2004,3
Huron,2005,16
Huron,2006,15
Huron,2007,14
Huron,2008,4
Huron,2009,2
Huron,2010,18
Huron,2011,22
Huron,2012,18
Huron,2013,17
Huron,2014,6
Huron,2015,10
Huron,2016,17
Ingham,1979,5
Ingham,1980,18
Ingham,1981,8
Ingham,1982,8
Ingham,1983,30
Ingham,1984,13
Ingham,1985,6
Ingham,1986,12
Ingham,1987,24
Ingham,1988,35
Ingham,1989,8
Ingham,1990,12
Ingham,1991,23
Ingham,1992,3
Ingham,1993,13
Ingham,1994,10
Ingham,1995,28
Ingham,1996,8
Ingham,1997,13
Ingham,1998,14
Ingham,1999,22
Ingham,2000,10
Ingham,2001,18
Ingham,2002,28
Ingham,2003,14
Ingham,2004,9
Ingham,2005,32
Ingham,2006,20
Ingham,2007,23
Ingham,2008,19
Ingham,2009,5
Ingham,2010,39
Ingham,2011,31
Ingham,2012,37
Ingham,2013,31
Ingham,2014,18
Ingham,2015,22
Ingham,2016,37
Ionia,1979,4
Ionia,1980,18
Ionia,1981,9
Ionia,1982,7
Ionia,1983,32
Ionia,1984,13
Ionia,1985,8
Ionia,1986,9
Ionia,1987,25
Ionia,1988,35
Ionia,1989,10
Ionia,1990,10
Ionia,1991,20
Ionia,1992,3
Ionia,1993,15
Ionia,1994,10
Ionia,1995,28
Ionia,1996,8
Ionia,1997,13
Ionia,1998,19
Ionia,1999,20
Ionia,2000,10
Ionia,2001,18
Ionia,2002,30
Ionia,2003,13
Ionia,2004,10
Ionia,2005,34
Ionia,2006,25
Ionia,2007,27
Ionia,2008,17
Ionia,2009,6
Ionia,2010,40
Ionia,2011,32
Ionia,2012,41
Ionia,2013,29
Ionia,2014,15
Ionia,2015,23
Ionia,2016,33
Iosco,1979,2
Iosco,1980,5
Iosco,1981,2
Iosco,1982,1
Iosco,1983,14
Iosco,1984,3
Iosco,1985,2
Iosco,1986,6
Iosco,1987,15
Iosco,1988,21
Iosco,1989,5
Iosco,1990,3
Iosco,1991,12
Iosco,1992,1
Iosco,1993,5
Iosco,1994,6
Iosco,1995,10
Iosco,1996,3
Iosco,1997,6
Iosco,1998,7
Iosco,1999,12
Iosco,2000,2
Iosco,2001,11
Iosco,2002,15
Iosco,2003,7
Iosco,2004,3
Iosco,2005,15
Iosco,2006,17
Iosco,2007,11
Iosco,2008,3
Iosco,2009,3
Iosco,2010,13
Iosco,2011,19
Iosco,2012,15
Iosco,2013,18
Iosco,2014,6
Iosco,2015,10
Iosco,2016,13
Iron,1980,2
Iron,1981,1
Iron,1982,3
Iron,1983,8
Iron,1984,2
Iron,1985,1
Iron,1986,5
Iron,1987,2
Iron,1988,13
Iron,1989,4
Iron,1990,2
Iron,1991,9
Iron,1994,1
Iron,1995,8
Iron,1996,4
Iron,1998,1
Iron,1999,8
Iron,2000,2
Iron,2001,11
Iron,2002,10
Iron,2003,5
Iron,2005,13
Iron,2006,13
Iron,2007,9
Iron,2009,1
Iron,2010,12
Iron,2011,10
Iron,2012,14
Iron,2013,12
Iron,2014,2
Iron,2015,6
Iron,2016,9
Isabella,1979,3
Isabella,1980,14
Isabella,1981,8
Isabella,1982,5
Isabella,1983,28
Isabella,1984,9
Isabella,1985,6
Isabella,1986,8
Isabella,1987,22
Isabella,1988,33
Isabella,1989,8
Isabella,1990,7
Isabella,1991,18
Isabella,1992,2
Isabella,1993,9
Isabella,1994,9
Isabella,1995,18
Isabella,1996,6
Isabella,1997,11
Isabella,1998,15
Isabella,1999,16
Isabella,2000,6
Isabella,2001,17
Isabella,2002,23
Isabella,2003,12
Isabella,2004,9
Isabella,2005,30
Isabella,2006,19
Isabella,2007,21
Isabella,2008,13
Isabella,2009,5
Isabella,2010,31
Isabella,2011,31
Isabella,2012,32
Isabella,2013,25
Isabella,2014,12
Isabella,2015,18
Isabella,2016,25
Jackson,1979,3
Jackson,1980,19
Jackson,1981,8
Jackson,1982,7
Jackson,1983,31
Jackson,1984,10
Jackson,1985,7
Jackson,1986,12
Jackson,1987,24
Jackson,1988,35
Jackson,1989,10
Jackson,1990,12
Jackson,1991,23
Jackson,1992,4
Jackson,1993,14
Jackson,1994,14
Jackson,1995,24
Jackson,1996,8
Jackson,1997,13
Jackson,1998,14
Jackson,1999,21
Jackson,2000,10
Jackson,2001,17
Jackson,2002,27
Jackson,2003,11
Jackson,2004,9
Jackson,2005,30
Jackson,2006,19
Jackson,2007,20
Jackson,2008,17
Jackson,2009,7
Jackson,2010,37
Jackson,2011,32
Jackson,2012,41
Jackson,2013,28
Jackson,2014,20
Jackson,2015,21
Jackson,2016,36
Kalamazoo,1979,4
Kalamazoo,1980,23
Kalamazoo,1981,9
Kalamazoo,1982,8
Kalamazoo,1983,30
Kalamazoo,1984,13
Kalamazoo,1985,9
Kalamazoo,1986,11
Kalamazoo,1987,26
Kalamazoo,1988,37
Kalamazoo,1989,11
Kalamazoo,1990,13
Kalamazoo,1991,25
Kalamazoo,1992,4
Kalamazoo,1993,14
Kalamazoo,1994,13
Kalamazoo,1995,27
Kalamazoo,1996,8
Kalamazoo,1997,14
Kalamazoo,1998,16
Kalamazoo,1999,24
Kalamazoo,2000,15
Kalamazoo,2001,20
Kalamazoo,2002,30
Kalamazoo,2003,12
Kalamazoo,2004,9
Kalamazoo,2005,32
Kalamazoo,2006,22
Kalamazoo,2007,25
Kalamazoo,2008,19
Kalamazoo,2009,11
Kalamazoo,2010,42
Kalamazoo,2011,33
Kalamazoo,2012,46
Kalamazoo,2013,28
Kalamazoo,2014,21
Kalamazoo,2015,27
Kalamazoo,2016,32
Kalkaska,1979,2
Kalkaska,1980,8
Kalkaska,1981,2
Kalkaska,1982,3
Kalkaska,1983,16
Kalkaska,1984,4
Kalkaska,1985,3
Kalkaska,1986,7
Kalkaska,1987,14
Kalkaska,1988,16
Kalkaska,1989,3
Kalkaska,1990,2
Kalkaska,1991,15
Kalkaska,1993,3
Kalkaska,1994,4
Kalkaska,1995,12
Kalkaska,1996,4
Kalkaska,1997,5
Kalkaska,1998,5
Kalkaska,1999,9
Kalkaska,2000,2
Kalkaska,2001,14
Kalkaska,2002,13
Kalkaska,2003,8
Kalkaska,2004,1
Kalkaska,2005,20
Kalkaska,2006,16
Kalkaska,2007,14
Kalkaska,2009,4
Kalkaska,2010,18
Kalkaska,2011,24
Kalkaska,2012,22
Kalkaska,2013,18
Kalkaska,2014,5
Kalkaska,2015,10
Kalkaska,2016,13
Kent,1979,4
Kent,1980,18
Kent,1981,8
Kent,1982,7
Kent,1983,32
Kent,1984,12
Kent,1985,6
Kent,1986,9
Kent,1987,25
Kent,1988,35
Kent,1989,8
Kent,1990,10
Kent,1991,24
Kent,1992,3
Kent,1993,14
Kent,1994,9
Kent,1995,23
Kent,1996,8
Kent,1997,12
Kent,1998,16
Kent,1999,20
Kent,2000,10
Kent,2001,19
Kent,2002,28
Kent,2003,13
Kent,2004,9
Kent,2005,36
Kent,2006,25
Kent,2007,28
Kent,2008,15
Kent,2009,5
